,words,label
0,HCoV-229E,1
1,EtOH,1
2,GC,1
3,US,1
4,PFD,1
5,RVP,1
6,AGA,1
7,LEF,1
8,DDI,1
9,S5,1
10,BPLT,1
11,DEB,1
12,RPLV,1
13,OPLL,1
14,CTS,1
15,RR,1
16,O2,1
17,CFTR,1
18,TVR,1
19,ARM,1
20,AV,1
21,A-F,1
22,MARS,1
23,TMEM43,1
24,GIB,1
25,ARF,1
26,CAH,1
27,MADRS,1
28,GM-CSF,1
29,iPSA,1
30,MHV,1
31,AS-OCT,1
32,ASRM,1
33,ICD,1
34,CRRT,1
35,PIDD,1
36,EDL,1
37,RLS,1
38,NBS,1
39,AP,1
40,L4,1
41,NG,1
42,CIN,1
43,EBRT,1
44,IFX,1
45,VS,1
46,ITU,1
47,HDL,1
48,AUDIT,1
49,AR,1
50,A&P,1
51,CHA2DS2-VASc,1
52,MZ,1
53,PTP,1
54,ADH,1
55,MRCP,1
56,EMG,1
57,HFpEF,1
58,ATP,1
59,PMP,1
60,PAP,1
61,TFI,1
62,ZM,1
63,MPI,1
64,HM3,1
65,TAH,1
66,DP,1
67,LVO,1
68,SALT,1
69,IVD,1
70,IFA,1
71,CDH,1
72,FOB,1
73,MB,1
74,PMO,1
75,UDVA,1
76,CMB,1
77,RAS,1
78,SMBG,1
79,GOF,1
80,GU,1
81,VWF:RCo,1
82,K,1
83,CLL,1
84,RYR2,1
85,VMAT,1
86,PVR,1
87,SSIS,1
88,DLT,1
89,MSIS,1
90,3VD,1
91,HCM,1
92,CTPA,1
93,tPA,1
94,AMI,1
95,T6,1
96,IUD,1
97,Cx,1
98,PAS,1
99,USOH,1
100,IABP,1
101,BSO,1
102,AFB,1
103,LV,1
104,BSAP,1
105,ALT,1
106,SLE,1
107,MA,1
108,CBI,1
109,BJ,1
110,HFCWO,1
111,HDFN,1
112,IR,1
113,ICH,1
114,UPF,1
115,SBFT,1
116,CK18,1
117,T3,1
118,BID,1
119,WBC,1
120,EOL,1
121,MCL,1
122,CED,1
123,CPK-MB,1
124,G4,1
125,MRC,1
126,CT,1
127,FN,1
128,LUL,1
129,HOMA,1
130,PPROM,1
131,NAFL,1
132,HAART,1
133,T1DM,1
134,CCRCC,1
135,RDI,1
136,RFA,1
137,SCI,1
138,cGy,1
139,MCV,1
140,MD,1
141,VF,1
142,NHEJ,1
143,mPCR,1
144,ENT,1
145,CCA,1
146,PWS,1
147,MR-proADM,1
148,OAC,1
149,BCL,1
150,NABS,1
151,MDR,1
152,NF,1
153,CAR,1
154,RPT,1
155,MS,1
156,PHP,1
157,MCTD,1
158,WNV,1
159,NAT,1
160,HD,1
161,FMS,1
162,PFU,1
163,LC,1
164,GAS,1
165,CO,1
166,DSM,1
167,MAP,1
168,CAP,1
169,CR,1
170,MELAS,1
171,PCa,1
172,QXH,1
173,IGRA,1
174,SEC,1
175,DS,1
176,T2,1
177,Afeb,1
178,TRALI,1
179,ESLD,1
180,NGS,1
181,IHF,1
182,MCII,1
183,AIDS,1
184,MAG,1
185,MELD,1
186,ISIB,1
187,RFT,1
188,CV,1
189,T2DM,1
190,HIV,1
191,GI,1
192,LVEDP,1
193,HME,1
194,CRT,1
195,PIVENS,1
196,rUTI,1
197,PM,1
198,IBD,1
199,RPE,1
200,FBS,1
201,NAS,1
